GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
courier-tracking,com.courier,CourierTrackingApplication.ExitAfterStartup,0,13,0,2,0,6,0,3,0,2
courier-tracking,com.courier,CourierTrackingApplication,0,8,0,0,0,3,0,2,0,2
courier-tracking,com.courier.domain,Store,0,15,0,0,0,1,0,1,0,1
courier-tracking,com.courier.domain,HaversineDistanceCalculator,0,65,0,0,0,10,0,2,0,2
courier-tracking,com.courier.domain,StoreEntry,0,12,0,0,0,1,0,1,0,1
courier-tracking,com.courier.domain,Location,0,12,0,0,0,1,0,1,0,1
courier-tracking,com.courier.application,CourierState,0,39,0,0,0,11,0,7,0,7
courier-tracking,com.courier.application,LocationIngestedEvent,0,15,0,0,0,1,0,1,0,1
courier-tracking,com.courier.application,LocationEventBus,0,30,0,2,0,8,0,4,0,3
courier-tracking,com.courier.application,StoreEntryListener,0,114,0,12,0,23,0,9,0,3
courier-tracking,com.courier.application,StoreEntryConfig,0,15,0,0,0,2,0,2,0,2
courier-tracking,com.courier.application,DistanceAccumulatorListener,0,39,0,4,0,13,0,4,0,2
courier-tracking,com.courier.application,CourierTrackingService,0,56,0,0,0,15,0,4,0,4
courier-tracking,com.courier.application,LocationUpdate,0,9,0,0,0,1,0,1,0,1
courier-tracking,com.courier.api,EntryResponse,0,12,0,0,0,1,0,1,0,1
courier-tracking,com.courier.api,ApiExceptionHandler,0,74,0,0,0,14,0,7,0,7
courier-tracking,com.courier.api,CourierController,0,58,0,0,0,12,0,5,0,5
courier-tracking,com.courier.api,DistanceResponse,0,9,0,0,0,1,0,1,0,1
courier-tracking,com.courier.api,ApiError,0,18,0,0,0,1,0,1,0,1
courier-tracking,com.courier.api,LocationRequest,0,15,0,0,0,1,0,1,0,1
courier-tracking,com.courier.infra,AppConfig,0,70,0,0,0,15,0,10,0,10
courier-tracking,com.courier.infra,CorrelationIdFilter,0,31,0,4,0,8,0,4,0,2
courier-tracking,com.courier.infra,SecurityConfig,0,100,0,2,0,18,0,11,0,10
courier-tracking,com.courier.infra,InMemoryCourierStateRepository,0,19,0,0,0,3,0,3,0,3
courier-tracking,com.courier.infra,DefaultStoreIdGenerator,0,47,0,8,0,13,0,7,0,3
courier-tracking,com.courier.infra,InMemoryEntryLogRepository,0,42,0,2,0,8,0,5,0,4
courier-tracking,com.courier.infra,JsonStoreRepository.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
courier-tracking,com.courier.infra,MetricsRecorder,0,36,0,0,0,13,0,4,0,4
courier-tracking,com.courier.infra,SecurityProperties,0,23,0,0,0,9,0,5,0,5
courier-tracking,com.courier.infra,StoreEntryProperties,0,23,0,0,0,9,0,5,0,5
courier-tracking,com.courier.infra,JsonStoreRepository,0,82,0,0,0,17,0,6,0,6
